Name,Address,City,Zip,COUNTY,X,Y,USNG,OWNERSHIP,PARCELID,NAME_OTHER,DESCRIPTION,LINK,FAC_STATUS,UAID,ACODE,AUSE,AOWNERSHIP,LAT,LONG,COMMENT,FACILITY_TYPE,x,y
SARASOTA / BRADENTON INTERNATIONAL AIRPORT,"SARASOTA MANATEE ARPT AUTH, 6",SARASOTA,34243,MANATEE,-82.55378781,27.39429459,17R LL 46371 31066,SPECIAL TAXING DISTRICT,6844700129,SARASOTA / BRADENTON INTERNATIONAL AIRPORT,6000 AIRPORT CIRCLE  SARASOTA FL 34243-2105,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000063,Active,FL000063,SRQ,Public,Public,27.39545277,-82.55438611,,AIRPORT,-9189845.62257399,3172820.607069875
DELAND MUNICIPAL - SIDNEY H TAYLOR FIELD,1725  LEXINGTON AVE,DELAND,32724,VOLUSIA,-81.28042581,29.06691164,17R MN 72704 15431,MUNICIPAL,30163400000020,DELAND MUNICIPAL - SIDNEY H TAYLOR FIELD,1777 LANGLEY AVE  DELAND FL 32724,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000016,Active,FL000016,DED,Public,Public,29.06698055,-81.28394166,,AIRPORT,-9048095.612169065,3384165.1470959526
WINTER HAVEN'S GILBERT AIRPORT, ,WINTER HAVEN,33881,POLK,-81.75441965,28.05912767,17R MM 25862 03981,MUNICIPAL,262807000000011010,WINTER HAVEN'S GILBERT AIRPORT,2073 HIGHWAY 92 WEST  WINTER HAVEN FL 33881,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000079,Active,FL000079,GIF,Public,Public,28.06291944,-81.75331666,,AIRPORT,-9100860.365883008,3256430.4834316587
SEBASTIAN MUNICIPAL AIRPORT, ,SEBASTIAN,32958,INDIAN RIVER,-80.49413731,27.81414946,17R NL 49823 76717,MUNICIPAL,30382200001000000000.1,SEBASTIAN MUNICIPAL AIRPORT,202 AIRPORT DRIVE EAST  SEBASTIAN FL 32958,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000088,Active,FL000088,X26,Public,Public,27.81280277,-80.49560833,,AIRPORT,-8960566.377621163,3225562.430995147
CALHOUN COUNTY AIRPORT, ,BLOUNTSTOWN,32424,CALHOUN,-85.11378763,30.48774454,16R FU 81040 74345,COUNTY,14-1N-09-0000-0008-0100,CALHOUN COUNTY AIRPORT,16701 NORTHWEST AGRIPARK ROAD  ALTHA FL 32421,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000097,Active,FL000097,F95,Public,Public,30.48822222,-85.11381944,,AIRPORT,-9474823.498241495,3566400.1925282557
LAKE WALES MUNICIPAL AIRPORT,440 S AIRPORT RD,LAKE WALES,33859,POLK,-81.62037161,27.89312538,17R ML 38942 85518,,273004000000021010,LAKE WALES MUNICIPAL AIRPORT,450 AIRPORT ROAD SOUTH  LAKE WALES FL 33859-1320,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000037,Active,FL000037,X07,Public,Public,27.89380277,-81.62041111,,AIRPORT,-9085938.205475504,3235506.014937978
WAUCHULA MUNICIPAL AIRPORT, ,WAUCHULA,33873,HARDEE,-81.88180151,27.51301835,17R ML 12910 43568,MUNICIPAL,23-34-24-0000-07820-0000,WAUCHULA MUNICIPAL AIRPORT,1202 MAURICE SONNY CLAVEL ROAD  WAUCHULA FL 33873,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000076,Active,FL000076,CHN,Public,Public,27.51364999,-81.88063888,,AIRPORT,-9115040.449590148,3187714.1278118514
CLEARWATER AIR PARK, ,CLEARWATER,33765,PINELLAS,-82.75874311,27.97668649,17R LL 27023 95865,MUNICIPAL,15 29 12 55836 001 0012,CLEARWATER AIR PARK,1000 NORTH HERCULES AVENUE  CLEARWATER FL 33765,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000009,Active,FL000009,CLW,Public,Public,27.97668638,-82.75874027,,AIRPORT,-9212661.141607292,3246034.807229746
GEORGE T LEWIS AIRPORT,16751 SW AIRPORT RD,CEDAR KEY,32625,LEVY,-83.05025458,29.1344588,17R LN 00541 24620,,0042200000,GEORGE T LEWIS AIRPORT,14703 SOUTHWEST AIRPORT ROAD  CEDAR KEY FL 32625,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000105,Active,FL000105,CDK,Public,Public,29.13424444,-83.05047222,,AIRPORT,-9245112.049710043,3392770.783140063
ST PETE-CLEARWATER INTERNATIONAL AIRPORT,14700 TERMINAL BLVD,CLEARWATER,33762,PINELLAS,-82.6883322,27.90948061,17R LL 33846 88321,COUNTY,16 29 34 00110 000 0000,ST PETE-CLEARWATER INTERNATIONAL AIRPORT,14700 TERMINAL BOULEVARD AIRPORT DIRECTOR'S OFFICE - SUITE 221 CLEARWATER FL 33762,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000067,Active,FL000067,PIE,Public,Public,27.91076333,-82.68743944,,AIRPORT,-9204823.034795476,3237566.150879156
SEBRING REGIONAL AIRPORT, ,SEBRING,33870,HIGHLANDS,-81.34139353,27.45708705,17R ML 66266 37109,,C083530A0000100000,SEBRING REGIONAL AIRPORT,128 AUTHORITY LANE  SEBRING FL 33870,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000064,Active,FL000064,SEF,Public,Public,27.45640277,-81.34239999,,AIRPORT,-9054882.5076904,3180695.7245859196
KISSIMMEE GATEWAY AIRPORT,301 DYER BLVD,KISSIMMEE,34741,OSCEOLA,-81.43774088,28.29048036,17R MM 57075 29458,MUNICIPAL,20-25-29-2360-0017-0010,KISSIMMEE GATEWAY AIRPORT,301 NORTH  DYER BOULEVARD SUITE 101 KISSIMMEE FL 34744-4613,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000035,Active,FL000035,ISM,Public,Public,28.28980555,-81.43708333,,AIRPORT,-9065607.845565606,3285646.325836734
DAYTONA BEACH INTERNATIONAL AIRPORT,700 CATALINA DR,DAYTONA BEACH,32114,VOLUSIA,-81.05805556,29.17991667,17R MN 94355 27920,COUNTY,32153953010010,DAYTONA BEACH INTERNATIONAL AIRPORT,"700 CATALINA DRIVE, SUITE 300  DAYTONA BEACH FL 32114",http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000014,Active,FL000014,DAB,Public,Public,29.17991666,-81.05805555,,AIRPORT,-9023341.469284797,3398565.385400785
PENSACOLA INTERNATIONAL AIRPORT,2430 AIRPORT BLVD,PENSACOLA,32504,ESCAMBIA,-87.18796383,30.47279746,16R DU 81957 71192,,,PENSACOLA INTERNATIONAL AIRPORT,2430 AIRPORT BLVD SUITE 225 PENSACOLA FL 32504,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000058,Active,FL000058,PNS,Public,Public,30.47330555,-87.18744444,,AIRPORT,-9705719.737153508,3564469.4739698987
DESTIN - FT WALTON BEACH AIRPORT, ,DESTIN,32541,OKALOOSA,-86.47178301,30.40036811,16R EU 50739 63269,COUNTY,00-2S-22-0000-0007-0000,DESTIN - FT WALTON BEACH AIRPORT,1001 AIRPORT ROAD  DESTIN FL 32541,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000017,Active,FL000017,DTS,Public,Public,30.40005638,-86.47147416,,AIRPORT,-9625994.85269096,3555117.942972314
LA BELLE MUNICIPAL AIRPORT, ,LABELLE,33935,HENDRY,-81.4321496,26.74429673,17R MK 57027 58187,COUNTY,2 29 43 16 A00 0003.0000,LA BELLE MUNICIPAL AIRPORT,99 EAST COWBOY WAY  LABELLE FL 33975-1607,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000084,Active,FL000084,X14,Public,Public,26.74423277,-81.43257555,,AIRPORT,-9064985.427162312,3091561.16579408
DEFUNIAK SPRINGS AIRPORT, ,DEFUNIAK SPRINGS,32435,WALTON,-86.15393669,30.73297071,16R EV 80995 00314,MUNICIPAL,28-3N-19-19000-005-0000,DEFUNIAK SPRINGS AIRPORT,1931 U.S. HIGHWAY 90 WEST  DEFUNIAK SPRINGS FL 32435-0685,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000015,Active,FL000015,54J,Public,Public,30.7313,-86.15377777,,AIRPORT,-9590612.361932436,3598118.6474746754
VALKARIA AIRPORT,2985 FAIRGREEN ST,MALABAR,32950,BREVARD,-80.55824645,27.96333106,17R NL 43449 93218,COUNTY,29 381700  253,VALKARIA AIRPORT,2865 GREENBROOKE STREET  VALKARIA FL 32950,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000087,Active,FL000087,X59,Public,Public,27.96086111,-80.55833333,,AIRPORT,-8967702.97372513,3244351.4614446624
SPACE COAST REGIONAL AIRPORT, ,TITUSVILLE,32780,BREVARD,-80.79922414,28.51479863,17R NM 19646 54247,COUNTY,23 350200    2,SPACE COAST REGIONAL AIRPORT,355 GOLDEN KNIGHTS BOULEVARD  TITUSVILLE FL 32780,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000072,Active,FL000072,TIX,Public,Public,28.51479944,-80.7992275,,AIRPORT,-8994528.487224244,3314034.528655914
