Name,Address,City,Zip,COUNTY,X,Y,USNG,OWNERSHIP,PARCELID,NAME_OTHER,DESCRIPTION,LINK,FAC_STATUS,UAID,ACODE,AUSE,AOWNERSHIP,LAT,LONG,COMMENT,FACILITY_TYPE,x,y
TALLAHASSEE REGIONAL AIRPORT,3300 CAPITOL CIRCLE SW,TALLAHASSEE,32310,LEON,-84.34503411,30.39138709,16R GU 55099 65146,MUNICIPAL,4117208010000,TALLAHASSEE REGIONAL AIRPORT,3300 CAPITAL CIRCLE SOUTHWEST SUITE 1 TALLAHASSEE FL 32310,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000069,Active,FL000069,TLH,Public,Public,30.39652777,-84.35033333,,AIRPORT,-9389246.248360153,3553958.86619952
FT LAUDERDALE EXECUTIVE AIRPORT, ,FORT LAUDERDALE,33309,BROWARD,-80.17319122,26.19840268,17R NJ 82607 97919,MUNICIPAL,494209290010,FT LAUDERDALE EXECUTIVE AIRPORT,6000 NORTHWEST 21ST AVENUE  FORT LAUDERDALE FL 33309,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000021,Active,FL000021,FXE,Public,Public,26.19727777,-80.17071111,,AIRPORT,-8924838.82179747,3023674.788626121
PALM BEACH INTERNATIONAL AIRPORT,BLDG 846-PALM BEACH INTL,WEST PALM BEACH,33406,PALM BEACH,-80.09388369,26.68260726,17R NK 90153 51602,COUNTY,00434331010010010,PALM BEACH INTERNATIONAL AIRPORT,BUILDING 846 PBIA  WEST PALM BEACH FL 33406-1491,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000077,Active,FL000077,PBI,Public,Public,26.68315833,-80.09558888,,AIRPORT,-8916010.347973606,3083873.375825919
PILOT COUNTRY AIRPORT, ,SPRING HILL,34610,PASCO,-82.49648214,28.33028157,17R LM 53303 34699,,1825100020000000310,PILOT COUNTRY AIRPORT,11500 PILOT COUNTRY DRIVE  SPRING HILL FL 34610,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000274,Active,FL000274,X05,Public,Private,28.33028333,-82.49648333,,AIRPORT,-9183466.383794267,3290678.916956252
EVERGLADES AIRPARK, ,OCHOPEE,34141,COLLIER,-81.38974917,25.84844984,17R MJ 60944 58958,COUNTY,83491800001,EVERGLADES AIRPARK,650 EVERGLADES CITY  AIRPARK ROAD  EVERGLADES CITY FL 34139,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000018,Active,FL000018,X01,Public,Public,25.84871111,-81.39008055,,AIRPORT,-9060265.43380546,2980322.8826688444
CECIL AIRPORT,6211 AVIATION AVE,JACKSONVILLE,32221,DUVAL,-81.87614347,30.21765104,17R MP 15681 43227,COUNTY,0022490000R,CECIL AIRPORT,13365 SIMPSON WAY  JACKSONVILLE FL 32221-5522,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000455,Active,FL000455,VQQ,Public,Public,30.21867305,-81.87666444,,AIRPORT,-9114410.59945607,3531557.647076694
COASTAL AIRPORT, ,PENSACOLA,32526,ESCAMBIA,-87.38530701,30.53189038,16R DU 63037 77788,,071S311210000001,COASTAL AIRPORT,6001 WEST NINE MILE ROAD  PENSACOLA FL 32526,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000700,Active,FL000700,83J,Public,Private,30.53188888,-87.38530555,,AIRPORT,-9727687.879416011,3572104.2571890983
OCALA INTERNATIONAL-JIM TAYLOR FIELD,1770 SW 60TH AVE,OCALA,34474,MARION,-82.22305131,29.17178334,17R LN 81067 27636,MUNICIPAL,23320-000-00,OCALA INTERNATIONAL-JIM TAYLOR FIELD,750 SOUTHWEST 60TH AVENUE  OCALA FL 34474-1270,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000051,Active,FL000051,OCF,Public,Public,29.17261111,-82.22416666,,AIRPORT,-9153028.202907912,3397528.4256649558
JACK BROWNS SEAPLANE BASE, , , ,POLK,-81.76085555,28.06225868,17R MM 25232 04332,,,JACK BROWNS SEAPLANE BASE,2704 U.S. HIGHWAY 92  WINTER HAVEN FL 33880,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000829,Active,FL000829,F57,Public,Private,28.0575,-81.76280555,,AIRPORT,-9101576.806601288,3256825.4548912356
PERRY-FOLEY AIRPORT, ,PERRY,32348,TAYLOR,-83.57833083,30.07271675,17R KP 51465 29646,COUNTY,12050706062000,PERRY-FOLEY AIRPORT,511 INDUSTRIAL DRIVE  PERRY FL 32348,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000092,Active,FL000092,40J,Public,Public,30.06935277,-83.58061944,,AIRPORT,-9303897.229433926,3512900.331779666
BARTOW MUNICIPAL AIRPORT,5001 N US HWY 17,BARTOW,33830,POLK,-81.78329246,27.94336659,17R ML 22943 91175,,252923000000011010,BARTOW MUNICIPAL AIRPORT,5001 HIGHWAY 17 NORTH  BARTOW FL 33830,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000004,Active,FL000004,BOW,Public,Public,27.94335833,-81.78344166,,AIRPORT,-9104074.471916124,3241835.4865757353
Keystone Heights Airpark, ,STARKE,32091,BRADFORD,-82.04916349,29.84712119,17R LP 98652 02307,,05215-0-00000,Keystone Heights Airpark,7100 AIRPORT ROAD  STARKE FL 32091-9347,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000033,Active,FL000033,42J,Public,Public,29.84440833,-82.03343611,,AIRPORT,-9133671.099238556,3483913.795328887
PIERSON MUNICIPAL AIRPORT, ,PIERSON,32180,VOLUSIA,-81.45923613,29.24997852,17R MN 55378 35768,MUNICIPAL,28142700000240,PIERSON MUNICIPAL AIRPORT,305 NORTH CENTER STREET  PIERSON FL 32180,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000109,Active,FL000109,2J8,Public,Public,29.25,-81.45923611,,AIRPORT,-9068000.686011111,3407501.334926016
NORTHEAST FLORIDA REGIONAL AIRPORT,4900 N US HWY 1,SAINT AUGUSTINE,32095,ST. JOHNS,-81.34055639,29.96093121,17R MP 67141 14504,,0748400000,NORTHEAST FLORIDA REGIONAL AIRPORT,4796 US HIGHWAY 1 NORTH  ST. AUGUSTINE FL 32095,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000065,Active,FL000065,SGJ,Public,Public,29.95924999,-81.33975,,AIRPORT,-9054789.318089247,3498528.9031927376
WAKULLA COUNTY AIRPORT, ,PANACEA,32346,WAKULLA,-84.39579235,29.9886893,16R GU 51241 20387,,01-6S-02W-000-03588-001,WAKULLA COUNTY AIRPORT,30 BAY DRIVE  PANACEA FL 32346,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000108,Active,FL000108,2J0,Public,Public,29.98926944,-84.39584166,,AIRPORT,-9394896.629408097,3502096.0415459014
POMPANO BEACH AIRPARK, ,POMPANO BEACH,33060,BROWARD,-80.11105311,26.24713866,17R NK 88778 03357,MUNICIPAL,484225000060,POMPANO BEACH AIRPARK,1001 NORTHEAST 10TH STREET  POMPANO BEACH FL 33060,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000102,Active,FL000102,PMP,Public,Public,26.24713888,-80.11105555,,AIRPORT,-8917921.638818925,3029722.462143251
FERGUSON AIRPORT, ,PENSACOLA,32506,ESCAMBIA,-87.34884597,30.39879321,16R DU 66489 63027,,232S312200000000,FERGUSON AIRPORT,9750 AILERON AVENUE  PENSACOLA FL 32506,http://www.florida-aviation-database.com/Facility/PublicSearch.aspx?UAID=FL000703,Active,FL000703,82J,Public,Private,30.39825,-87.34888888,,AIRPORT,-9723629.05441306,3554914.6813944415
